Title,Citation,Conference,Publisher,Journal,Date,Authors,AuthorDCU
A configurable translation-based cross-lingual ontology mapping system to adjust mapping outcome,41,Unknown,Elsevier,"Web Semantics: Science, Services and Agents on the World Wide Web",2012,"Bo Fu, Rob Brennan, Declan Oâ€™Sullivan",Rob Brennan
FIPA-compliant agents for real-time control of intelligent network traffic,41,Unknown,Elsevier,Computer Networks,1999,"Brendan Jennings, Rob Brennan, Rune Gustavsson, Robert Feldt, Jeremy Pitt, Konstantinos Prouskas, Joachim Quantz",Rob Brennan
Improving curated web-data quality with structured harvesting and assessment,37,Unknown,IGI Global,International Journal on Semantic Web and Information Systems (IJSWIS),2014,"Kevin Chekov Feeney, Declan O'Sullivan, Wei Tai, Rob Brennan",Rob Brennan
Evolutionary trends in intelligent networks,37,Unknown,IEEE,IEEE Communications Magazine,2000,"Rob Brennan, Brendan Jennings, Conor McArdle, Thomas Curran",Rob Brennan
"Challenges for federated, autonomic network management in the future internet",35,2009 IFIP/IEEE International Symposium on Integrated Network Management-Workshops,IEEE,Unknown,2009,"Brendan Jennings, Rob Brennan, William Donnelly, Simon N Foley, Dave Lewis, Declan O'Sullivan, John Strassner, Sven van der Meer",Rob Brennan
Experimental studies of SCTP multi-homing,34,Unknown,Unknown,"First Joint IEI/IEE Symposium on Telecommunications Systems Research, Dublin, Ireland",2001,"Thomas Ravier, Rob Brennan, Thomas Curran",Rob Brennan
The Celtic Gandalf framework,30,MELECON 2006-2006 IEEE Mediterranean Electrotechnical Conference,IEEE,Unknown,2006,"Zwi Altman, Ronan Skehill, Raquel Barco, Lars Moltsen, Rob Brennan, Abed Samhat, Rana Khanafer, HervÃ© Dubreil, Michael Barry, Beatriz Solana",Rob Brennan
"A macroscope for global history: Seshat Global History Databank, a methodological overview",26,Unknown,The Alliance of Digital Humanities Organizations,Unknown,2016,"Pieter Francois, JG Manning, Harvey Whitehouse, Rob Brennan, Thomas Currie, Kevin Feeney, Peter Turchin",Rob Brennan
Creating a vocabulary for data privacy,24,"OTM Confederated International Conferences"" On the Move to Meaningful Internet Systems""","Springer, Cham",Unknown,2019,"Harshvardhan J Pandit, Axel Polleres, Bert Bos, Rob Brennan, Bud Bruegger, Fajar J Ekaputra, Javier D FernÃ¡ndez, Roghaiyeh Gachpaz Hamed, Elmar Kiesling, Mark Lizar, Eva Schlehahn, Simon Steyskal, Rigo Wenning",Rob Brennan
User evaluation study of a tagging approach to semantic mapping,21,European Semantic Web Conference,"Springer, Berlin, Heidelberg",Unknown,2009,"Colm Conroy, Rob Brennan, Declan Oâ€™Sullivan, Dave Lewis",Rob Brennan
Enabling decentralised management through federation,19,Unknown,Elsevier,Computer Networks,2010,"Kevin Feeney, Rob Brennan, John Keeney, Hendrik Thomas, Dave Lewis, Aidan Boran, Declan Oâ€™Sullivan",Rob Brennan
Policy-based integration of multiprovider digital home services,18,Unknown,IEEE,IEEE network,2009,"Rob Brennan, David Lewis, John Keeney, Zohar Etzioni, Kevin Feeney, Declan O'Sullivan, Jose A Lozano, Brendan Jennings",Rob Brennan
Making ontologies talk: knowledge interoperability in the semantic web,17,Unknown,IEEE,IEEE Intelligent Systems,2008,"Monika Lanzenberger, Jennifer Sampson, Horst Kargl, Manuel Wimmer, Colm Conroy, Declan O'Sullivan, David Lewis, Rob Brennan, JosÃ© Ãngel Ramos-Gargantilla, AsunciÃ³n GÃ³mez-PÃ©rez, FrÃ©dÃ©ric FÃ¼rst, Francky Trichet, JÃ©rÃ´me Euzenat, Axel Polleres, FranÃ§ois Scharffe, Konstantinos Kotis",Rob Brennan
An evaluation of uplift mapping languages,16,Unknown,Emerald Publishing Limited,International Journal of Web Information Systems,2017,"Ademar Crotti Junior, Christophe Debruyne, Rob Brennan, Declan Oâ€™Sullivan",Rob Brennan
Ontology Mapping Representations: A Pragmatic Evaluation.,15,SEKE,Unknown,Unknown,2009,"Hendrik Thomas, Declan O'Sullivan, Rob Brennan",Rob Brennan
